ID	Location	Day	Month	Year	Image	Body	AuthorID	CategoryID
32		1st	February			I hear the mate coming and shall hear “all hands on deck,” “hurry down there” & "go aloft to scrape the main mast." We shall get into Lake Huron soon and then have some hard times. There are three vessels being towed by our tug, going to Saginaw for Lumber. It is clouding over like rain and I am poorly prepared for cold or wet.	2	5
33		17th	June			Was the hardest day out. It commenced at 3 o'clock in the morning with a heavy storm and continued all day. I was soaked through over and over again by the water coming in over the bulwarks. I went aloft to help furl the main gaff top – got awfully seasick and passed a most uncomfortable day and night. I did not get to bed till 4 this morning. I slept with wet clothes and wet boots – 3 hours. It's an awful looking place on the top of the mast in a storm – railing and pitching and somewhat necessary to hold on.	2	5
34		19th	June			This afternoon I steered for six consecutive hours while all the other sailors were shortening the shrouds. There are a great many sails in sight and the lake steamers to and from Chicago. We expect to be there tomorrow morning.	2	5
35		27th	June			I went up to the mast head to help furl the gaff sail in perfect darkness. In the morning at 4 o'clock it rained very hard – the mate gave me the Captain's oil coat and I took off my boots and rolled up my pants and came out at the end of my four hours quite dry. 	2	5
36	Buffalo	8th	July			Sailors are a hard class of men. They have no home in the summer except on the Lake. 	2	5
37				Date Unknown		For all the pleasures of sailing I think I shall not want to go to sea again immediately.  Regular & unbroken rest is what I feel the want of most. This vessel is worse than others in that respect.	2	5
38				Date Unknown		My hands have grown so hard & large pulling at the ropes that I had to take off Mrs. Perkin’s ring. My face & nose are all sun burned and sore.	2	5
39		9th	June			A beautiful morning. Went down to the dock to see the Captain of the Anne Henry. He is a fine man or I am no judge. I can go aboard tomorrow if I please. I think I should take one trip as I am out of money. Have concluded to go into the real estate and employment agency business when I come back.	2	4
40				Date Unknown		The Captain’s a very nice man till he has head winds or bad luck and then grumbles & swears some.	2	4
41		20th	June			After rather a poor days sailing we got into Chicago about 4 o'clock and were towed in the dirtiest river water I ever smelled. There are crowds of vessels here and many of them lying idle, some have not been out this season. Grain is only 3 cents a bushel to Buffalo.	2	4
42		21st	June			I was paid off this morning and got five dollars for my trip. I can stay on board and get my meals but no pay while she is in port. If the Captain does not get a load and lays up I shall be in a tight place with not enough to get back to Cleveland. Today we had an extra good dinner of Roast beef, peas, turnips, pie, pudding.	2	4
43		22nd	June			There are lots of men here idle & trying to work for their board, even the 1st mate would work for his board if he don’t get another situation. I have money enough to go back to Cleveland by rail, but should be there idle till the first July spending money. While if I stay aboard the vessel I get my board and if she goes down the Lakes I get my passage & save and make a little more.	2	4
44		7th	July			Walked out this afternoon around the streets. Quite a busy place, the Erie Canal and NY Central Railroad, make business together with the lumber and shipping. I expect to get paid off tomorrow and leave for Cleveland. If I get money enough I shall buy a new pair of pants and vest if not, go without. I weighed 157 without a coat or underclothes.	2	4
45				Date Unknown		I think I am growing fat and I know I am improved in health. I eat more at a meal than I used to eat in a day. The cook is a good one in her profession, but very silly.	2	3
46		11th	June			The sails were made and a heavy storm came on. I got wet through having no rubber clothing. I had to stay up on watch till 4 the next morning. At 4, I went to my bunk chilly and tired and laid awake half an hour before I got warm enough to sleep. 40 minutes after we were called up for a tug as we were nearly to the entrance to the Detroit River.	2	3
47		14th	June			Had a big squall this morning which laid the schooner on her beam ends and brought water on the deck in abundance. We are in Saginaw Bay out of sight of land. I have to go aloft now to hand off the loft gaff topsails and do almost everything a sailor has to do. We are now about 125 miles from the river, we have lunch of cold meat, bread and butter and cake every night at 12.	2	3
48		28th	June			We were up all night in a storm and heavy wind. We got to the dock load off “shore lumber” which is the hardest kind of work. Heavy green pine boards and planks; finished work at 6:30 and got to bed a little after 8 having been at hard labor without sleep for 36 hours and only 2 in the last 48.	2	3
49		1st	July			Went swimming in the evening. The mosquitoes beat anything we read about. I shall never doubt a western mosquito story again. I went to sleep last night with a swarm of them about my face & singing in my ears. The more I fought them, the thicker they got and I was so tired I gave up at last and my face was spotted this morning like the measles. While I am writing I stop every line and kill a dozen.	2	3
50		2nd	July			Shoved lumber again till nearly six o'clock and then got the vessel ready for a sailing. Am not sorry to get away from this place of hard work, hot sultry weather and mosquitoes.	2	3
51		4th	July			The only sign of 4th of July to us was in hauling up the colors of red white and blue. Passed through Lake St Clair at noon and lay opposite Detroit till about dark and got underway again for Lake Erie. Saw the fireworks in Detroit while going down the river.	2	3
52		16th				I have been aloft, to shift the gaff topsail four times today. Thought what Lipsie would say if she could see me up 85 feet out in the ropes.	2	2
53		30th				I washed my clothes and am going bathing for my own benefit this afternoon. Went in swimming at 4 o'clock in the lake and had a good wash - feel much better for it. We have only 2 meals on Sunday when in port - Dinner at 1/2 past 3. Read the psalms for the day and wrote to Lipsie and looked at her photo.	2	2
54		8th				It seemed like starting for home and I am afraid I can't stay when I get to Cleveland. Liked the music onboard and I never heard music from an accordion before tonight!	2	2
55		9th				Got to Cleveland at 11 o'clock, put right straight for the P.O after leaving my luggage at the hotel and two letters from my dear Lipsie. How my heart thumped at the sight of them! If my little wife knew the joy I felt at getting her dear sweet letters she wouldn’t think that her Davy was a scamp & did not love her. I am sure no two ever loved as we do. I must go home to see her.	2	2
56				Date Unknown		Mr. Benedict was glad to see me back & I bought a hat. I lost mine over board on the schooner in a gale. This afternoon I shall get a bath & hair cut & look as much like a civilized person as possible.	2	2
57		21st	June			A very pleasant occupation is making sail or raising the main and fore sail, going to the mast head & holding on. The halyards the weight of 3 or 4 men at a time pulling the sails up as follows.	2	1
58		22nd	June			The Captain is taken sick this evening down the river about a mile and a boat has come after him.	2	1
59		27th	June			A steam tug is a small vessel with big engine made to draw heavy loads rather than carrying them.
A scow is a schooner boat with square bow and stern, like a flat boat.
A barge is a vessel without sails or spars though some have engine and are steam barges.
A canal boat is a ship made expressly to travel the canals.
A bark has three masts the first square rigger and the other schooner rigged.
A 3 + after is a three masted schooner A fore + after is a schooner, a brig is a schooner with square rigged foremast 	2	1
60		5th	July			Hardly any sleep today, weather squally and all hands on deck till towards evening when it cleared up.	2	1
61		6th	July			Very squally night, heavy rain and wind all the time and big sea. About 5 o'clock a gale commenced and blowed all day, happily a fair wind and skimmed over the water like a bird, the biggest sea I ever saw or want to see. No vessels ...to bed at two after hard work enough for anyone.	2	1
